Genres,Danceability (0-1),Tempo (BPM),Popularity (0-100),Key,Mode
brazilian bass,0.872,124.01100000000001,0.0,Bb,Minor
brazilian black metal,0.14328,102.5836,0.0,E,Major
brazilian boogie,0.6274507792207792,111.45669493506495,31.57636363636364,A,Major
brazilian classical,0.4267844444444443,120.33537222222222,21.247777777777774,D,Major
brazilian classical piano,0.25406153846153845,92.74642564102564,28.066666666666666,G,Major
brazilian contemporary classical,0.221,172.892,33.0,Ab,Major
brazilian doom metal,0.20414666666666664,125.91020000000002,0.2,B,Major
brazilian edm,0.7306428571428574,129.11164285714287,5.928571428571429,A,Major
brazilian gospel,0.645,117.01299999999999,0.0,Bb,Minor
brazilian grindcore,0.22058823529411764,125.96337254901958,0.0784313725490196,B,Minor
brazilian groove metal,0.3869090909090909,121.09300000000002,40.95454545454545,E,Major
brazilian hip hop,0.695,94.82700000000001,56.0,A,Major
brazilian indie,0.6364347222222222,114.3956583333333,36.15833333333333,B,Major
brazilian jazz,0.5039651778238041,113.20566563254866,29.722979243959607,F,Major
brazilian metal,0.4798585858585859,126.81744444444445,23.318181818181817,Ab,Major
brazilian percussion,0.6718000000000002,91.5244,5.4,E,Major
brazilian punk,0.672,102.19200000000001,49.0,C,Major
brazilian reggae,0.7745833333333334,115.78975,36.04166666666667,G,Major
brazilian rock,0.5289961538461538,120.2064282051282,50.30576923076922,A,Major
brazilian ska,0.32,167.532,13.0,A,Minor
brazilian soul,0.6691404958677685,105.60435950413223,41.632231404958674,G,Minor
brazilian tech house,0.8059999999999999,123.00200000000001,7.0,Ab,Major
brazilian techno,0.888,121.98700000000001,0.0,B,Minor
brazilian thrash metal,0.3869090909090909,121.09300000000002,40.95454545454545,E,Major
breakbeat,0.6176671497584539,132.9514930296757,37.832022084196,A,Minor
breakcore,0.537,131.143,25.5,B,Minor
breaks,0.414,107.595,0.0,Db,Major
brighton indie,0.565125,130.4333125,55.5,D,Major
brill building pop,0.5307923568077354,118.56276457506156,29.91788013899361,G,Major
bristol electronic,0.6929444444444446,104.07861111111113,5.444444444444446,A,Minor
bristol indie,0.43,155.683,42.0,B,Major
brit funk,0.6991607885578475,114.39050341651811,37.57456073338425,G,Minor
british alternative rock,0.6545749999999999,117.07805,40.05,Bb,Major
british black metal,0.30319166666666664,126.09110833333335,37.09166666666667,D,Major
british blues,0.5025449956859951,121.09140021896528,30.6128997369002,A,Major
british brass band,0.2753333333333334,116.82583333333334,2.5,D,Major
british children's music,0.9059999999999999,98.98,52.0,Ab,Major
british choir,0.26211150405616795,98.81396867838043,33.967039179308074,G,Major
british classical piano,0.30176095679012344,94.16479166666666,31.94521604938272,Db,Major
british comedy,0.6932857142857143,118.26299999999999,37.3469387755102,Gb,Major
british contemporary classical,0.21938249999999998,95.33506944444444,17.275000000000002,C,Minor
british dance band,0.4887959415361152,113.00342501774256,5.779941542475789,F,Major
british death metal,0.23969444444444446,112.30752777777776,38.69444444444445,Db,Major
british experimental,0.4825846938775511,129.46497755102044,24.004081632653055,C,Major
british folk,0.5116555296776637,117.41159164143556,28.61230232038121,G,Major
british grindcore,0.2579166666666667,114.02391666666666,39.41666666666667,Db,Major
british indie rock,0.5607539682539683,110.23511904761904,63.492063492063494,G,Major
british industrial,0.5339729166666667,115.76998333333331,25.7625,C,Major
british invasion,0.5251091404017287,123.03673218261132,32.28247493061746,A,Major
british jazz,0.369275,112.04525833333332,31.733333333333334,Db,Major
british modern classical,0.27559953429568784,104.41807714005509,15.47672584223463,D,Major
british orchestra,0.2474729596529421,99.70689714670428,30.85429439828198,Bb,Major
british post-rock,0.5017777777777778,125.13133333333332,7.666666666666668,G,Major
british power metal,0.32475,154.996,49.5,Bb,Minor
british singer-songwriter,0.4808751803751803,120.89089682539684,53.6031746031746,D,Major
british soul,0.5908161541571199,115.94813637170112,45.45043516295211,B,Major
british soundtrack,0.2563335319888445,100.507505575154,45.17206543456543,G,Major
britpop,0.4767468294873616,122.07744232749693,44.6845760717456,D,Major
